Account Number,Gross Outstanding,Gender,Age,Salaried,Date of Disbursement,Date of Default,Date of Provision,Provision Amount
GB00010283,2609860,Female,43,Non Salaried,18-08-2010,23-02-2015,24-05-2015,1565916
GB00010439,9720,Male,42,Non Salaried,24-02-2008,23-02-2011,24-05-2011,5832
GB00010499,12690,Female,38,Salaried,23-04-2010,18-02-2013,19-05-2013,7614
GB00010714,32150,Male,43,Non Salaried,20-01-2007,11-07-2012,09-10-2012,19290
GB00010792,12305250,Female,44,Salaried,30-01-2008,03-07-2010,01-10-2010,7383150
GB00010889,35090,Female,39,Non Salaried,05-07-2012,03-05-2013,01-08-2013,21054
GB00011071,68410,Female,54,Non Salaried,01-11-2007,27-11-2013,25-02-2014,41046
GB00011103,2967110,Female,48,Salaried,05-08-2003,03-05-2013,01-08-2013,1780266
GB00011283,98860,Female,47,Salaried,29-09-2013,01-03-2016,30-05-2016,59316
GB00011343,39190,Female,50,Salaried,14-08-2005,21-11-2020,19-02-2021,23514
GB00011551,3354950,Female,38,Salaried,25-12-2009,05-11-2012,03-02-2013,2012970
GB00011553,64220,Female,41,Salaried,07-08-2011,23-03-2016,21-06-2016,38532
GB00011697,4272390,Male,46,Salaried,18-02-2003,29-09-2018,28-12-2018,2563434
GB00011709,67640,Male,52,Non Salaried,16-07-2009,22-04-2018,21-07-2018,40584
GB00011778,44390,Male,44,Non Salaried,12-06-2007,13-11-2019,11-02-2020,26634
GB00011940,7466460,Female,35,Non Salaried,07-12-2016,29-09-2019,28-12-2019,4479876
GB00011961,45750,Male,38,Non Salaried,25-12-2008,10-05-2012,08-08-2012,27450
GB00012034,88590,Female,46,Non Salaried,25-09-2001,11-10-2011,09-01-2012,53154
GB00012077,740,Male,43,Salaried,06-07-2006,26-02-2009,27-05-2009,444
GB00012146,713900,Male,33,Non Salaried,23-08-2015,25-06-2018,23-09-2018,428340
GB00012573,1983300,Female,47,Non Salaried,02-07-2000,23-01-2021,23-04-2021,1189980
GB00012599,46520,Female,38,Salaried,27-04-2013,26-08-2018,24-11-2018,27912
GB00012727,3918090,Female,46,Salaried,16-03-2002,13-12-2015,12-03-2016,2350854
GB00012782,151750,Female,48,Non Salaried,09-10-2000,24-01-2006,24-04-2006,91050
GB00012864,3594460,Female,50,Non Salaried,25-11-2006,18-10-2020,16-01-2021,2156676
GB00012903,1143780,Male,50,Salaried,23-04-2002,07-06-2010,05-09-2010,686268
GB00012930,1066970,Male,41,Non Salaried,18-10-2014,29-09-2016,28-12-2016,640182
GB00012953,73970,Male,49,Salaried,21-09-2013,30-04-2018,29-07-2018,44382
GB00013018,5454380,Female,53,Salaried,03-05-2003,22-06-2019,20-09-2019,3272628
GB00013056,4908890,Female,43,Salaried,17-02-2009,02-03-2012,31-05-2012,2945334
GB00013157,2226660,Female,37,Salaried,19-03-2011,26-06-2013,24-09-2013,1335996
GB00013207,410040,Male,38,Salaried,28-01-2008,08-03-2013,06-06-2013,246024
GB00013505,462760,Male,53,Non Salaried,29-08-2000,08-12-2011,07-03-2012,277656
GB00013555,1797590,Female,44,Salaried,28-09-2015,30-11-2017,28-02-2018,1078554
GB00013599,74330,Male,41,Salaried,19-06-2009,20-11-2012,18-02-2013,44598
GB00013797,4618900,Female,35,Salaried,15-04-2012,16-10-2015,14-01-2016,2771340
GB00013838,647450,Female,39,Non Salaried,10-09-2010,01-03-2015,30-05-2015,388470
GB00013840,29130,Male,45,Salaried,29-09-2001,24-09-2013,23-12-2013,17478
GB00013914,80980,Male,44,Non Salaried,15-07-2007,07-03-2010,05-06-2010,48588
GB00013920,3150,Female,44,Non Salaried,08-05-2016,06-11-2018,04-02-2019,1890
GB00014111,89420,Male,35,Non Salaried,12-02-2017,28-05-2018,26-08-2018,53652
GB00014150,33150,Female,40,Non Salaried,20-06-2017,16-02-2020,16-05-2020,19890
GB00014162,3774460,Female,53,Salaried,25-04-2017,12-11-2018,10-02-2019,2264676
GB00014223,13030,Male,25,Salaried,10-09-2008,18-05-2014,16-08-2014,7818
GB00014310,1638030,Male,35,Salaried,21-03-2011,06-06-2015,04-09-2015,982818
GB00014394,2253940,Male,37,Salaried,29-05-2016,17-06-2017,15-09-2017,1352364
GB00014447,3721320,Female,36,Salaried,14-04-2014,19-05-2018,17-08-2018,2232792
GB00014462,19160,Male,39,Salaried,13-03-2013,13-03-2020,11-06-2020,11496
GB00014476,1739790,Male,28,Non Salaried,07-04-2009,25-06-2016,23-09-2016,1043874
GB00014551,5317900,Male,33,Non Salaried,31-12-2007,21-04-2012,20-07-2012,3190740
GB00014649,2407270,Male,27,Salaried,19-04-2009,23-06-2009,21-09-2009,1444362
GB00014731,8723870,Female,44,Salaried,12-03-2000,19-12-2014,19-03-2015,5234322
GB00014913,86840,Female,50,Salaried,23-04-2021,21-03-2004,19-06-2004,52104
GB00015138,12120,Female,35,Non Salaried,13-12-2016,20-08-2019,18-11-2019,7272
GB00015192,254710,Female,43,Non Salaried,04-10-2002,23-09-2020,22-12-2020,152826
GB00015291,2151660,Male,26,Salaried,28-11-2001,06-03-2008,04-06-2008,1290996
GB00015292,63600,Male,41,Salaried,03-09-2014,24-07-2008,22-10-2008,38160
GB00015645,1617830,Male,42,Non Salaried,26-10-2011,12-09-2018,11-12-2018,970698
GB00015648,526050,Female,51,Non Salaried,11-06-2004,02-04-2016,01-07-2016,315630
GB00015746,19770,Female,27,Salaried,01-09-2020,01-07-2006,29-09-2006,11862
GB00016125,41000,Male,25,Salaried,27-03-2012,02-07-2001,30-09-2001,24600
GB00016135,39849540,Male,33,Salaried,20-11-2005,25-04-2018,24-07-2018,23909724
GB00016231,4070,Male,31,Salaried,06-01-2003,11-02-2013,12-05-2013,2442
GB00016378,50890,Female,36,Salaried,27-11-2013,28-08-2004,26-11-2004,30534
GB00016449,8390,Female,50,Salaried,28-12-2014,09-06-2017,07-09-2017,5034
GB00016509,43400,Female,43,Non Salaried,11-03-2004,05-02-2019,06-05-2019,26040
GB00016840,1764990,Female,51,Non Salaried,16-01-2001,21-12-2007,20-03-2008,1058994
GB00016946,12560,Male,32,Salaried,11-10-2014,20-05-2016,18-08-2016,7536
GB00017274,9012800,Male,45,Non Salaried,20-08-2012,27-06-2017,25-09-2017,5407680
GB00017347,6685330,Female,40,Salaried,09-01-2007,17-05-2013,15-08-2013,4011198
GB00017401,1122350,Male,50,Non Salaried,25-02-2014,27-02-2021,28-05-2021,673410
GB00017751,1259690,Male,46,Non Salaried,24-06-2007,30-05-2019,28-08-2019,755814
GB00017773,7629660,Female,49,Salaried,06-06-2006,03-07-2011,01-10-2011,4577796
GB00017833,23160,Female,35,Salaried,21-07-2010,26-04-2014,25-07-2014,13896
GB00018037,5092610,Female,28,Salaried,05-01-2020,05-06-2021,03-09-2021,3055566
GB00018305,8380920,Male,29,Non Salaried,25-04-2009,22-10-2012,20-01-2013,5028552
GB00018338,43720,Female,45,Non Salaried,10-05-2006,21-03-2010,19-06-2010,26232
GB00018363,38220,Male,25,Non Salaried,07-10-2011,23-02-2016,23-05-2016,22932
GB00018739,17480,Female,29,Salaried,01-09-2007,16-09-2015,15-12-2015,10488
GB00018834,14760,Male,51,Salaried,17-12-2010,26-02-2014,27-05-2014,8856
GB00018859,56680,Male,31,Salaried,09-08-2000,23-08-2015,21-11-2015,34008
GB00019036,42180,Male,53,Salaried,29-08-2009,19-07-2014,17-10-2014,25308
GB00019363,8521430,Male,38,Salaried,29-12-2012,03-08-2014,01-11-2014,5112858
GB00019647,25720,Male,42,Non Salaried,22-02-2018,21-08-2021,19-11-2021,15432
GB00019894,862780,Female,47,Non Salaried,12-12-2014,28-12-2015,27-03-2016,517668
GB00019916,14090,Male,42,Non Salaried,18-09-2012,01-11-2016,30-01-2017,8454
